1987 Survey of Youth in Custody
Lohr (1999) - Appendix C - file syc.dat


Variable   Description
----------------------------------------------------------
stratum    stratum number
psu        psu number
psusize    # of eligible residents in psu
initwt     initial weight
finalwt    final weight
randgrp    random group number
age        age (99 = missing)
race       race (1 = white, 2 = black, 3 = Asian/Pacific Islander, 
                 4 = Native, 5 = other, 9 = missing)
ethnicty   1 = Hispanic, 2 = not Hispanic, 9 = missing
educ       highest grade attended before sent to correctional institution 
                (99 = missing)    
sex        gender (1 = male, 2 = female, 9 = missing)
livewith   who did you live with most of the time when growing up?   
famtime    any family member ever served time in prison?  
                (1 = yes, 2 = no, 7 = don't know, 9 = missing)
crimtype   most serious crime in current offence (see * below)
everviol   ever put on probation or sent to correctional institution for 
                violent offence? (1 = yes, 0 = no)
numarr     # of times arrested (99 = missing)
probtn     # of times on probation (99 = missing)
corrinst   # of times previously committed to correctional institution (99 = missing) 
evertime   ever serve time in correctional institution before current 
                offence (1 = yes, 2 = no, 9 = missing)
prviol     previously arrested for violent crime (1 = yes, 0 = no, 9 = missing)
prprop     previously arrested for property offence (same as prviol)
prdrug     previously arrested for drug offence (same as prviol)
prpub      previously arrested for public-order offence (same as prviol)
prjuv      previously arrested for juvenile-status offence (same as prviol)
agefirst   age at first arrest (99 = missing)
usewepn    did you use a weapon for this incident? (1 = yes, 2 = no, 9 = missing)
alcuse     drank alcohol in the year prior to current offence 
                (1 = yes, 2 = no but drinker, 3 = non drinker, 9 = missing)
everdrug   ever used illegal drugs (1 = yes, 0 = no, 9 = missing)


*  1 = violent (e.g., murder, rape, robbery, assault)				  
   2 = property (e.g., burglary, larceny, arson, fraud, vehicle theft)		  
   3 = drug (drug possession or trafficking)					  
   4 = public order (e.g., weapons violation, perjury, failure to appear in court)	  
   5 = juvenile-status offence (e.g., truancy, incorrigible behaviour)		  
   9 = missing                                                                       



=====================================================================================
stratum,psu,psusize,initwt,finalwt,randgrp,age,race,ethnicty,educ,sex,livewith,famtime,crimtype,everviol,numarr,probtn,corrinst,evertime,prviol,prprop,prdrug,prpub,prjuv,agefirst,usewepn,alcuse,everdrug
7,20,53,8,10,5,14,2,2,7,1,3,1,1,1,24,3,1,1,1,1,0,0,0,11,1,1,1
7,20,53,8,10,6,13,2,2,7,1,3,1,2,1,3,1,1,1,1,0,0,0,0,12,1,1,1
7,20,53,8,10,7,12,2,2,5,2,4,2,1,1,4,0,0,2,0,0,0,0,0,11,2,2,0
7,20,53,8,10,1,15,2,2,8,1,3,2,2,0,6,2,3,1,0,0,1,0,0,13,2,3,0
7,20,53,8,10,2,14,2,1,7,1,1,2,3,1,4,1,7,1,1,0,1,0,0,12,2,2,1
7,20,53,8,14,3,14,1,2,9,1,3,2,2,0,20,3,3,1,0,1,0,0,1,11,2,1,1
7,20,53,8,14,4,16,1,2,9,2,5,1,2,0,2,2,1,1,0,1,0,0,0,16,2,1,1
12,21,410,8,10,1,17,2,2,9,1,1,2,1,1,2,1,0,2,1,0,0,1,1,15,9,1,0
12,21,410,8,10,2,16,2,2,9,2,3,2,2,0,3,3,2,1,0,1,0,0,1,14,2,2,1
12,21,410,8,10,3,14,2,9,8,1,1,1,1,1,5,1,1,1,1,1,0,0,0,11,2,1,1
12,21,410,8,10,4,16,2,2,9,1,3,1,2,0,1,1,99,9,0,0,0,0,0,16,1,1,0
12,21,410,8,10,5,16,2,2,10,1,1,1,4,0,3,0,0,2,0,0,0,0,0,15,1,3,1
12,21,410,8,10,6,16,2,2,9,1,1,1,2,1,4,1,2,1,1,0,1,0,0,13,9,3,1
12,21,410,8,10,7,18,2,2,11,1,1,2,2,1,3,1,4,1,1,0,0,0,0,11,2,1,1
12,21,410,8,14,1,17,1,2,11,1,3,1,4,0,1,0,3,1,0,1,0,0,1,17,2,1,1
12,21,410,8,14,2,17,1,2,11,1,1,2,1,1,10,2,1,1,1,1,1,0,0,16,2,3,1
12,21,410,8,10,3,16,2,2,9,1,1,2,2,1,10,1,4,1,1,1,0,1,0,13,2,3,0
12,21,410,8,14,4,17,1,2,10,1,3,1,2,0,8,1,4,1,0,1,1,0,1,13,2,1,1
12,21,410,8,10,5,16,2,2,9,1,1,1,2,1,3,2,1,1,1,0,0,0,0,15,1,3,0
